query_id,key_id,score
2914,1371,2
2914,0,2
2914,1373,2
2914,1374,2
2914,1375,2
2914,1,2
2914,1376,2
2914,1372,1
2914,1383,1
2914,1377,1
2914,1378,1
2914,1379,1
2914,1380,1
2914,1381,1
2914,1382,1
2914,2111,1
2914,2112,1
2914,2113,1
2914,2867,1
2914,2868,1
2914,2869,1
2914,3098,1
2914,3099,1
2914,3100,1
2915,1433,2
2915,3482,2
2915,1435,2
2915,1436,2
2915,1437,2
2915,1438,2
2915,1439,2
2915,1434,1
2915,1690,1
2915,3563,1
2915,3564,1
2915,3565,1
2915,3566,1
2915,3567,1
2915,3568,1
2915,3569,1
2915,3570,1
2915,3571,1
2915,3572,1
2915,3573,1
2915,3574,1
2915,3575,1
2915,3576,1
2915,3603,1
2915,3577,1
2915,3578,1
2915,3579,1
2915,3580,1
2915,3581,1
2915,3582,1
2916,1496,2
2916,1498,2
2916,1503,2
2916,2,2
2916,1504,2
2916,1505,2
2916,1507,2
2916,1511,2
2916,1513,2
2916,1514,2
2916,2863,1
2916,1495,1
2916,1497,1
2916,1499,1
2916,1500,1
2916,1494,1
2916,1501,1
2916,1502,1
2916,1506,1
2916,1508,1
2916,1509,1
2916,1510,1
2916,1512,1
2916,1731,1
2916,1733,1
2916,1671,1
2916,1672,1
2916,1673,1
2916,1674,1
2916,1734,1
2916,1735,1
2916,1675,1
2916,1737,1
2916,1738,1
2916,1676,1
2916,1727,1
2916,1728,1
2916,1740,1
2916,1677,1
2916,1743,1
2916,1744,1
2916,1745,1
2916,1678,1
2916,2100,1
2916,2101,1
2916,2102,1
2916,2103,1
2916,2104,1
2916,2105,1
2916,2106,1
2916,2107,1
2916,2108,1
2916,3215,1
2916,2109,1
2916,2110,1
2916,2407,1
2916,2408,1
2916,2409,1
2916,2965,1
2916,2410,1
2916,2411,1
2916,2567,1
2916,2568,1
2916,2569,1
2916,2578,1
2916,3211,1
2916,3212,1
2916,3353,1
2916,3354,1
2916,3563,1
2916,3564,1
